,Response,Complain,Income_min_max,Num_of_Children,Purchase_bin,Spent_min_max,Mnt_Responded,Web_Visits_Range,Status_cat,Edu_cat,Age_bin,Registration_bin
1,0,0.0,0.05568702044040956,0.0,1.0,0.0011904761904761906,0.0,3.0,0,2,2.0,4.0
2,0,0.0,0.1087858664215022,0.0,1.0,0.06865079365079366,0.0,3.0,2,2,1.0,1.0
3,0,0.0,0.6085878176131746,2.0,3.0,0.42738095238095236,0.0,1.0,3,0,2.0,2.0
6,0,0.0,0.07501945197973084,2.0,1.0,0.0015873015873015873,0.0,3.0,1,4,2.0,4.0
7,0,0.0,0.470225613517317,2.0,3.0,0.3388888888888889,0.0,0.0,3,3,2.0,2.0
8,0,0.0,0.4972893314594109,2.0,3.0,0.29444444444444445,0.0,1.0,1,3,1.0,1.0
9,0,0.0,0.5540388284900134,2.0,3.0,0.49404761904761907,0.0,1.0,3,0,1.0,1.0
10,0,0.0,0.38391851130165755,2.0,3.0,0.2888888888888889,0.0,1.0,1,2,1.0,1.0
11,0,0.0,0.6758171281646564,3.0,2.0,0.4023809523809524,0.0,0.0,1,4,2.0,2.0
12,0,0.0,0.5709515444376272,2.0,2.0,0.4654761904761905,1.0,1.0,1,3,3.0,1.0
13,1,0.0,0.5487188266141687,2.0,3.0,0.25833333333333336,1.0,1.0,4,2,1.0,1.0
14,1,0.0,0.5709515444376272,2.0,2.0,0.4654761904761905,1.0,1.0,1,3,3.0,1.0
15,1,0.0,0.5244795153731968,1.0,3.0,0.6575396825396825,0.0,1.0,0,4,2.0,1.0
16,1,0.0,0.42934338040167425,2.0,2.0,0.20238095238095238,0.0,1.0,1,2,1.0,3.0
17,1,0.0,0.4911346541703989,2.0,3.0,0.3126984126984127,0.0,1.0,1,4,2.0,1.0
18,1,0.0,0.5518973380360284,2.0,3.0,0.2900793650793651,0.0,0.0,1,4,2.0,2.0
19,0,0.0,0.42904829313439286,2.0,3.0,0.2126984126984127,0.0,1.0,3,3,1.0,2.0
