,Response,Complain,Income_min_max,Num_of_Children,Purchase_bin,Spent_min_max,Mnt_Responded,Web_Visits_Range,Status_cat,Edu_cat,Age_bin,Registration_bin
20,0,0.0,0.7431813357526098,3.0,2.0,0.5503968253968254,0.0,1.0,2,2,2.0,1.0
21,0,0.0,0.4584811402795174,2.0,3.0,0.29603174603174603,0.0,1.0,1,3,2.0,2.0
22,1,0.0,0.3536408497468265,2.0,2.0,0.16984126984126985,0.0,1.0,2,2,2.0,2.0
23,0,0.0,0.4682527443589214,2.0,2.0,0.22063492063492063,0.0,1.0,2,2,2.0,2.0
24,0,0.0,0.47272963975681914,2.0,2.0,0.22182539682539684,0.0,1.0,3,2,2.0,2.0
25,0,0.0,0.5876956390896516,2.0,2.0,0.44246031746031744,0.0,1.0,2,0,2.0,2.0
26,0,0.0,0.4152466400904029,2.0,2.0,0.10277777777777777,0.0,1.0,1,4,2.0,1.0
27,0,0.0,0.489642355704433,2.0,2.0,0.1626984126984127,0.0,1.0,2,2,1.0,2.0
28,0,0.0,0.5232148556562766,2.0,2.0,0.2400793650793651,0.0,1.0,1,3,2.0,2.0
29,0,0.0,0.5821732916590998,1.0,2.0,0.7226190476190476,0.0,1.0,0,0,2.0,1.0
30,1,0.0,0.4012763657508236,2.0,2.0,0.25753968253968257,0.0,1.0,2,2,2.0,2.0
31,0,0.0,0.5022215043553999,1.0,3.0,0.3666666666666667,0.0,1.0,1,4,2.0,2.0
32,0,0.0,0.5788092968120918,2.0,3.0,0.2571428571428572,0.0,1.0,1,2,1.0,2.0
33,0,0.0,0.49294733309798466,2.0,2.0,0.1884920634920635,0.0,1.0,3,4,2.0,1.0
34,0,0.0,0.5610534743865312,1.0,2.0,0.2884920634920635,2.0,1.0,0,2,2.0,4.0
35,0,0.0,0.5458522645891495,1.0,3.0,0.4718253968253968,0.0,1.0,3,2,1.0,3.0
36,0,0.0,0.38415287318372304,1.0,2.0,0.17420634920634923,0.0,1.0,3,2,3.0,2.0
37,0,0.0,0.2954496406389349,1.0,2.0,0.10873015873015873,0.0,1.0,2,2,1.0,2.0
38,0,0.0,0.38415287318372304,1.0,2.0,0.17420634920634923,0.0,1.0,1,2,3.0,2.0
39,1,0.0,0.37456675252946736,2.0,2.0,0.15039682539682542,0.0,1.0,0,2,2.0,1.0
40,0,0.0,0.521351590340014,3.0,2.0,0.16111111111111112,0.0,1.0,1,3,2.0,3.0
41,0,0.0,0.48772007293471414,1.0,3.0,0.45515873015873015,0.0,1.0,1,3,2.0,1.0
42,0,0.0,0.4900807710729653,2.0,1.0,0.17103174603174603,0.0,0.0,3,3,1.0,2.0
43,0,0.0,0.4328338412203742,2.0,1.0,0.09126984126984128,0.0,1.0,1,4,2.0,3.0
44,1,0.0,0.5211408137205273,1.0,2.0,0.35753968253968255,1.0,1.0,3,4,1.0,1.0
45,0,0.0,0.38782038636279187,1.0,2.0,0.19880952380952382,0.0,1.0,1,2,1.0,1.0
46,0,0.0,0.5808074591648259,3.0,2.0,0.17420634920634923,1.0,1.0,3,4,3.0,4.0
47,0,0.0,0.40224593820046245,2.0,2.0,0.23412698412698413,0.0,1.0,0,3,2.0,2.0
48,1,0.0,0.5849386809067655,3.0,2.0,0.5194444444444445,0.0,1.0,3,4,2.0,2.0
49,0,0.0,0.6006963409795921,2.0,2.0,0.2384920634920635,0.0,0.0,1,2,1.0,2.0
50,1,0.0,0.43883675934335575,2.0,1.0,0.09325396825396826,1.0,1.0,3,3,2.0,1.0
51,1,0.0,0.46687848079986805,2.0,1.0,0.19642857142857142,1.0,1.0,1,2,2.0,2.0
52,0,0.0,0.6015984649109952,2.0,2.0,0.12182539682539684,0.0,0.0,1,2,2.0,4.0
53,0,0.0,0.5560201287131885,1.0,3.0,0.4353174603174603,0.0,1.0,1,2,2.0,1.0
54,0,0.0,0.5919280336089449,1.0,2.0,0.3146825396825397,2.0,1.0,2,2,1.0,4.0
55,0,0.0,0.5441491895036968,2.0,2.0,0.40555555555555556,1.0,1.0,1,2,1.0,2.0
56,0,0.0,0.34198911822160105,3.0,1.0,0.08174603174603173,0.0,1.0,1,0,1.0,1.0
57,0,0.0,0.5509614898455074,1.0,3.0,0.4662698412698413,0.0,1.0,2,2,1.0,2.0
58,0,0.0,0.46419740219999706,2.0,1.0,0.08968253968253967,0.0,0.0,1,2,1.0,4.0
59,0,0.0,0.528981703965433,1.0,2.0,0.24087301587301588,0.0,1.0,3,2,1.0,3.0
60,0,0.0,0.34198911822160105,3.0,1.0,0.08174603174603173,0.0,1.0,1,0,1.0,1.0
61,0,1.0,0.5297404997955851,1.0,2.0,0.2507936507936508,0.0,0.0,3,2,2.0,3.0
62,0,0.0,0.6006963409795921,2.0,2.0,0.2384920634920635,0.0,0.0,1,2,1.0,2.0
63,1,0.0,0.49104191245782475,2.0,2.0,0.15674603174603174,0.0,1.0,0,3,1.0,3.0
64,0,0.0,0.5808074591648259,3.0,2.0,0.17420634920634923,1.0,1.0,3,4,3.0,4.0
65,0,0.0,0.6722002013742645,3.0,1.0,0.6178571428571429,0.0,0.0,3,2,2.0,2.0
66,1,0.0,0.46780589792560956,1.0,2.0,0.19365079365079366,1.0,1.0,0,4,2.0,1.0
67,1,0.0,0.491100929911281,1.0,2.0,0.42023809523809524,1.0,1.0,3,4,2.0,1.0
68,0,0.0,0.48186048291298356,1.0,3.0,0.4734126984126984,0.0,1.0,4,4,2.0,2.0
69,1,0.0,0.3999611196452265,1.0,1.0,0.32063492063492066,1.0,1.0,0,4,2.0,2.0
70,0,0.0,0.6551188641310612,1.0,3.0,0.6638888888888889,0.0,1.0,1,3,2.0,2.0
71,0,0.0,0.3437174865013921,2.0,1.0,0.07698412698412699,0.0,1.0,2,2,2.0,1.0
72,0,0.0,0.45187118549241406,2.0,1.0,0.1142857142857143,0.0,1.0,1,3,2.0,2.0
73,1,0.0,0.48186048291298356,1.0,3.0,0.4734126984126984,0.0,1.0,4,4,2.0,2.0
74,0,0.0,0.5324215783954561,2.0,2.0,0.24206349206349206,0.0,1.0,4,2,2.0,2.0
75,0,0.0,0.4472931173171627,2.0,1.0,0.09880952380952382,0.0,1.0,1,2,1.0,1.0
76,0,0.0,0.5454560045445145,1.0,2.0,0.2892857142857143,0.0,1.0,1,4,2.0,2.0
77,0,0.0,0.41714362966578333,2.0,1.0,0.1138888888888889,0.0,1.0,3,3,2.0,4.0
78,0,0.0,0.3315093047007217,0.0,3.0,0.33095238095238094,0.0,1.0,1,1,1.0,2.0
79,0,0.0,0.4858399454888927,1.0,2.0,0.3392857142857143,0.0,0.0,1,3,2.0,2.0
80,0,0.0,0.5152896547635761,3.0,2.0,0.15515873015873016,0.0,0.0,2,2,1.0,3.0
81,0,0.0,0.23780645074170875,1.0,1.0,0.10476190476190475,0.0,1.0,2,0,1.0,1.0
82,0,0.0,0.536089091574525,1.0,3.0,0.46825396825396826,0.0,1.0,0,2,2.0,2.0
83,0,0.0,0.5049110140200505,1.0,2.0,0.25992063492063494,0.0,0.0,3,4,1.0,4.0
84,0,0.0,0.464340730301248,2.0,2.0,0.15714285714285714,0.0,1.0,3,2,1.0,2.0
85,1,0.0,0.39532403401651883,1.0,2.0,0.17103174603174603,0.0,1.0,1,2,1.0,1.0
86,0,0.0,0.4886474900604557,2.0,1.0,0.10555555555555557,1.0,1.0,3,0,2.0,2.0
87,1,0.0,0.4361303875491464,2.0,1.0,0.10238095238095238,1.0,1.0,2,4,1.0,4.0
88,1,0.0,0.4101795701579423,2.0,1.0,0.10714285714285715,0.0,1.0,3,3,2.0,2.0
89,0,0.0,0.557503996114375,1.0,2.0,0.28769841269841273,0.0,0.0,0,2,2.0,1.0
90,0,0.0,0.33784103435010254,1.0,2.0,0.19523809523809524,0.0,1.0,3,2,1.0,1.0
91,1,0.0,0.3506478217501152,1.0,2.0,0.13968253968253969,0.0,1.0,1,2,2.0,1.0
92,0,0.0,0.4102385876113986,1.0,2.0,0.24761904761904763,1.0,1.0,1,3,1.0,4.0
93,0,0.0,0.5355499687042052,3.0,2.0,0.3726190476190476,2.0,1.0,2,2,2.0,3.0
94,0,0.0,0.39325842314554904,1.0,2.0,0.20476190476190476,0.0,1.0,0,0,2.0,2.0
95,0,0.0,0.5226246811217138,2.0,1.0,0.10238095238095238,0.0,1.0,1,2,1.0,2.0
96,0,0.0,0.43543904023722996,1.0,2.0,0.4138888888888889,1.0,1.0,3,0,1.0,1.0
97,1,0.0,0.34571564885412615,1.0,1.0,0.19166666666666668,1.0,0.0,2,2,2.0,2.0
98,0,0.0,0.36576472089970224,1.0,2.0,0.1738095238095238,0.0,1.0,1,2,1.0,3.0
99,0,0.0,0.3905098960274423,1.0,2.0,0.18928571428571428,0.0,1.0,1,2,1.0,4.0
100,0,0.0,0.41652816193688214,1.0,2.0,0.27222222222222225,1.0,0.0,1,2,2.0,3.0
101,0,0.0,0.4382971711974698,1.0,2.0,0.43134920634920637,0.0,1.0,4,4,2.0,1.0
102,0,0.0,0.5014627085252478,2.0,1.0,0.08809523809523809,0.0,1.0,3,3,2.0,3.0
103,0,0.0,0.4400592637363787,1.0,2.0,0.1623015873015873,0.0,1.0,3,2,2.0,3.0
104,0,0.0,0.40753221581718924,2.0,1.0,0.09325396825396826,0.0,1.0,3,2,2.0,1.0
105,0,0.0,0.5347738454689278,2.0,2.0,0.23055555555555557,0.0,1.0,3,2,2.0,1.0
106,0,0.0,0.43531257426553793,1.0,2.0,0.4515873015873016,0.0,1.0,2,4,2.0,1.0
107,0,0.0,0.5115631241310511,2.0,2.0,0.20714285714285716,1.0,1.0,2,2,1.0,3.0
108,0,0.0,0.548651378095933,1.0,2.0,0.2698412698412698,0.0,1.0,2,4,3.0,2.0
109,1,0.0,0.5656821289504593,1.0,2.0,0.4845238095238095,0.0,1.0,3,4,1.0,1.0
110,0,0.0,0.5545025370528841,1.0,2.0,0.3281746031746032,0.0,1.0,3,2,2.0,2.0
111,0,0.0,0.5298248104433798,1.0,2.0,0.18373015873015874,0.0,0.0,2,2,2.0,2.0
112,0,0.0,0.6793497443072538,2.0,2.0,0.45357142857142857,0.0,1.0,3,2,2.0,1.0
113,0,0.0,0.5285095643377827,1.0,2.0,0.31626984126984126,1.0,0.0,3,2,2.0,2.0
114,1,0.0,0.4494346077711477,1.0,2.0,0.1662698412698413,0.0,1.0,2,4,1.0,1.0
115,0,0.0,0.5152812236987967,1.0,2.0,0.38333333333333336,0.0,1.0,1,4,2.0,2.0
116,0,0.0,0.5406165733610996,2.0,2.0,0.2257936507936508,0.0,1.0,2,3,2.0,3.0
117,0,0.0,0.5297573619251441,1.0,2.0,0.34246031746031746,0.0,0.0,2,2,2.0,2.0
118,0,0.0,0.4211062301121335,3.0,1.0,0.11071428571428571,0.0,1.0,0,4,3.0,3.0
119,0,0.0,0.32462955584067543,2.0,1.0,0.058333333333333334,0.0,1.0,3,4,2.0,1.0
120,0,0.0,0.5293611018805091,1.0,3.0,0.3615079365079365,1.0,0.0,0,4,2.0,4.0
121,1,0.0,0.33281611974153935,2.0,1.0,0.12420634920634921,0.0,1.0,3,2,2.0,2.0
122,0,0.0,0.3927862835178988,2.0,1.0,0.06706349206349208,0.0,1.0,0,0,2.0,4.0
123,0,0.0,0.5378343219838749,3.0,1.0,0.10992063492063492,0.0,0.0,3,2,2.0,2.0
124,1,0.0,0.4494346077711477,1.0,2.0,0.1662698412698413,0.0,1.0,1,4,1.0,1.0
125,0,0.0,0.5112090194103134,1.0,2.0,0.33690476190476193,0.0,1.0,1,2,2.0,1.0
126,0,0.0,0.519319703728162,2.0,1.0,0.11547619047619048,0.0,1.0,1,2,1.0,1.0
127,0,0.0,0.6097344424231823,1.0,3.0,0.4638888888888889,0.0,1.0,1,2,1.0,1.0
128,0,0.0,0.5953173216502912,2.0,2.0,0.15476190476190477,0.0,1.0,3,3,2.0,3.0
129,1,0.0,0.5160821748528462,2.0,2.0,0.2853174603174603,2.0,1.0,1,0,1.0,2.0
130,0,0.0,0.5559358180653938,1.0,2.0,0.42658730158730157,0.0,1.0,1,2,1.0,1.0
131,0,0.0,0.41431922296466134,2.0,1.0,0.12103174603174602,0.0,1.0,0,2,2.0,2.0
132,0,0.0,0.44508417834494196,1.0,2.0,0.2384920634920635,1.0,1.0,4,2,2.0,1.0
133,1,0.0,0.509168701733682,2.0,2.0,0.2492063492063492,0.0,1.0,1,4,3.0,1.0
134,0,0.0,0.5722414973488859,1.0,1.0,0.18174603174603177,0.0,0.0,1,2,2.0,3.0
135,0,0.0,0.4156176069406995,2.0,1.0,0.073015873015873,0.0,1.0,0,2,2.0,2.0
136,0,0.0,0.18381391189399243,2.0,1.0,0.01904761904761905,0.0,1.0,1,4,1.0,2.0
137,1,0.0,0.5818697733270389,2.0,1.0,0.6924603174603174,3.0,0.0,0,4,2.0,3.0
138,0,0.0,0.5834295203112406,1.0,2.0,0.5166666666666667,0.0,1.0,0,4,2.0,2.0
139,0,0.0,0.3283813796675389,2.0,1.0,0.09920634920634921,1.0,1.0,3,2,2.0,3.0
140,0,0.0,0.38331819777055565,2.0,1.0,0.1003968253968254,1.0,1.0,4,2,2.0,3.0
141,0,0.0,0.5581869123615119,2.0,2.0,0.2488095238095238,0.0,1.0,2,3,2.0,2.0
142,0,0.0,0.379714880072962,1.0,1.0,0.4626984126984127,0.0,1.0,1,2,2.0,3.0
143,0,0.0,0.49618486197330053,1.0,2.0,0.35793650793650794,0.0,0.0,3,2,2.0,2.0
144,0,0.0,0.47319334831968995,1.0,2.0,0.27976190476190477,1.0,1.0,2,0,1.0,2.0
145,0,0.0,0.4204064517354376,1.0,1.0,0.14444444444444446,0.0,1.0,1,2,1.0,1.0
146,0,0.0,0.3984688211792606,1.0,2.0,0.26944444444444443,0.0,1.0,1,2,1.0,1.0
147,0,0.0,0.5696784536559274,2.0,2.0,0.29523809523809524,0.0,1.0,1,3,2.0,2.0
148,0,0.0,0.5797367139378333,1.0,3.0,0.4920634920634921,0.0,1.0,1,2,2.0,1.0
149,0,0.0,0.5469651651400393,1.0,2.0,0.5047619047619047,0.0,1.0,2,4,1.0,1.0
150,0,0.0,0.4494346077711477,1.0,2.0,0.1662698412698413,0.0,1.0,1,4,1.0,1.0
151,0,0.0,0.4204064517354376,1.0,1.0,0.14444444444444446,0.0,1.0,1,2,1.0,1.0
152,1,0.0,0.4001466030703748,2.0,1.0,0.09801587301587303,0.0,1.0,3,2,2.0,1.0
153,0,0.0,0.35551254612786853,1.0,1.0,0.18055555555555555,0.0,1.0,3,2,1.0,2.0
154,0,0.0,0.3914204510236249,2.0,1.0,0.10873015873015873,0.0,1.0,1,4,2.0,3.0
155,0,0.0,0.4375720996264355,1.0,2.0,0.25,0.0,1.0,1,0,1.0,3.0
156,1,0.0,0.5848796634533091,1.0,3.0,0.7138888888888889,1.0,1.0,1,2,2.0,1.0
157,0,0.0,0.16803938969160687,2.0,1.0,0.03293650793650794,0.0,0.0,2,1,2.0,2.0
158,0,0.0,0.6089587844634712,1.0,2.0,0.3603174603174603,0.0,0.0,1,4,2.0,3.0
159,0,0.0,0.4275559946684269,2.0,1.0,0.14603174603174604,0.0,1.0,1,2,1.0,3.0
160,0,0.0,0.4267044571257006,1.0,2.0,0.17142857142857143,0.0,1.0,1,3,2.0,3.0
161,0,0.0,0.42974807151108874,1.0,1.0,0.09365079365079365,0.0,0.0,3,2,2.0,2.0
162,0,0.0,0.41537310606209493,2.0,1.0,0.08174603174603173,0.0,1.0,3,2,1.0,3.0
163,0,0.0,0.6430034240429651,1.0,2.0,0.4119047619047619,0.0,0.0,1,2,2.0,2.0
164,0,0.0,0.3492566960615029,1.0,2.0,0.22698412698412698,0.0,1.0,1,0,1.0,2.0
165,0,0.0,0.38331819777055565,2.0,1.0,0.1003968253968254,1.0,1.0,4,2,2.0,3.0
166,0,0.0,0.4118489209842771,1.0,2.0,0.21666666666666667,0.0,1.0,1,4,1.0,1.0
167,1,0.0,0.5047929791131378,1.0,2.0,0.17857142857142858,0.0,0.0,2,4,2.0,2.0
168,1,0.0,0.33281611974153935,2.0,1.0,0.12420634920634921,0.0,1.0,3,2,2.0,2.0
169,0,0.0,0.4614235818875519,1.0,1.0,0.1488095238095238,0.0,1.0,3,3,1.0,3.0
170,1,0.0,0.3658068762235996,1.0,1.0,0.12658730158730158,0.0,1.0,2,4,1.0,4.0
171,0,0.0,0.4301864868796211,1.0,2.0,0.14166666666666666,0.0,0.0,1,2,1.0,3.0
172,0,0.0,0.4888161113560451,1.0,2.0,0.4285714285714286,1.0,1.0,3,2,2.0,3.0
173,0,0.0,0.4373444608773899,1.0,1.0,0.14761904761904762,1.0,1.0,2,2,2.0,1.0
174,0,0.0,0.4550159726551558,1.0,2.0,0.19722222222222222,0.0,1.0,1,2,1.0,1.0
175,0,0.0,0.5522851670158839,2.0,2.0,0.26031746031746034,1.0,1.0,1,4,1.0,2.0
176,0,0.0,0.36317638401240543,1.0,1.0,0.10436507936507936,0.0,1.0,3,4,2.0,2.0
177,0,0.0,0.468767039310469,1.0,2.0,0.23055555555555557,0.0,1.0,1,2,2.0,2.0
178,0,0.0,0.18567717721025495,1.0,1.0,0.025,0.0,1.0,1,2,1.0,4.0
179,0,0.0,0.3230192224677969,2.0,1.0,0.03373015873015873,0.0,0.0,4,4,2.0,3.0
180,0,0.0,0.6252307394878455,1.0,2.0,0.35674603174603176,0.0,0.0,1,4,1.0,4.0
181,0,0.0,0.35376731571851855,2.0,1.0,0.022222222222222223,0.0,1.0,1,2,1.0,4.0
182,0,0.0,0.5219754891336946,1.0,2.0,0.5984126984126984,1.0,1.0,1,0,1.0,1.0
183,0,0.0,0.5143285133787168,1.0,2.0,0.25992063492063494,0.0,0.0,3,3,2.0,2.0
184,0,0.0,0.384296201284974,3.0,1.0,0.030158730158730156,0.0,1.0,3,4,2.0,2.0
185,0,0.0,0.3890934771444916,3.0,1.0,0.022222222222222223,0.0,0.0,3,3,2.0,4.0
186,0,0.0,0.45943385059959735,2.0,1.0,0.049206349206349205,0.0,1.0,3,3,2.0,2.0
187,0,0.0,0.3634714712796868,2.0,1.0,0.03293650793650794,0.0,1.0,2,4,2.0,3.0
188,0,0.0,0.4403290578093217,1.0,1.0,0.1246031746031746,0.0,1.0,3,3,3.0,2.0
189,0,0.0,0.22528631954419798,1.0,1.0,0.03134920634920635,0.0,1.0,0,2,1.0,3.0
190,0,0.0,0.27357102753621415,1.0,1.0,0.09484126984126984,0.0,1.0,1,2,1.0,2.0
191,0,0.0,0.6456592094484976,1.0,2.0,0.5706349206349206,0.0,0.0,3,2,2.0,1.0
192,0,0.0,0.3634377470205689,2.0,1.0,0.04642857142857143,0.0,0.0,3,2,2.0,4.0
193,0,0.0,0.5790875219498143,1.0,2.0,0.542063492063492,1.0,1.0,2,2,2.0,1.0
194,0,0.0,0.31210942464316466,2.0,1.0,0.019444444444444445,1.0,1.0,3,2,2.0,4.0
195,0,0.0,0.45341407034705683,1.0,1.0,0.14523809523809525,0.0,1.0,2,2,2.0,1.0
196,0,0.0,0.10433426421794284,2.0,1.0,0.020634920634920634,0.0,1.0,2,2,1.0,1.0
197,0,0.0,0.5101635673776593,1.0,2.0,0.23214285714285715,0.0,1.0,0,2,2.0,1.0
198,0,0.0,0.33096128549005627,1.0,1.0,0.06746031746031747,0.0,1.0,1,2,1.0,2.0
199,1,0.0,0.3682940403335428,1.0,1.0,0.09563492063492063,1.0,1.0,2,2,1.0,1.0
200,0,0.0,0.3952987408221804,1.0,1.0,0.073015873015873,0.0,1.0,3,2,1.0,2.0
201,0,0.0,0.4733366764209409,2.0,1.0,0.10515873015873015,0.0,0.0,1,2,1.0,3.0
202,1,0.0,0.28926967015558447,2.0,1.0,0.06944444444444445,0.0,1.0,0,3,2.0,1.0
203,1,0.0,0.16347818364591438,1.0,1.0,0.036111111111111115,0.0,1.0,3,0,1.0,1.0
204,0,0.0,0.6037146621706418,1.0,1.0,0.40634920634920635,0.0,0.0,4,2,1.0,1.0
205,0,0.0,0.5790875219498143,1.0,2.0,0.542063492063492,1.0,1.0,2,2,2.0,1.0
206,0,0.0,0.41386394546657007,2.0,1.0,0.058333333333333334,0.0,1.0,2,2,2.0,3.0
207,0,0.0,0.5643162964561855,1.0,2.0,0.1765873015873016,0.0,1.0,1,3,2.0,2.0
208,0,0.0,0.43183054451161745,1.0,1.0,0.16825396825396827,0.0,1.0,3,0,1.0,1.0
209,0,0.0,0.5436011702930313,1.0,1.0,0.3142857142857143,1.0,1.0,0,0,1.0,3.0
210,1,0.0,0.5177430946144015,1.0,2.0,0.32142857142857145,2.0,1.0,3,2,2.0,3.0
211,0,0.0,0.4431113091865463,1.0,1.0,0.20476190476190476,0.0,0.0,4,0,1.0,2.0
212,0,0.0,0.5511048179467584,1.0,2.0,0.40595238095238095,0.0,0.0,1,4,2.0,3.0
213,0,0.0,0.49837693881596234,1.0,1.0,0.14126984126984127,0.0,1.0,0,4,2.0,2.0
214,0,0.0,0.1470881937146276,1.0,1.0,0.01904761904761905,0.0,1.0,0,2,1.0,4.0
215,0,0.0,0.3629909005872571,2.0,1.0,0.03373015873015873,0.0,1.0,1,3,2.0,2.0
216,0,0.0,0.6091948542772964,1.0,1.0,0.37777777777777777,1.0,1.0,1,3,3.0,2.0
217,0,0.0,0.49505509929285174,1.0,1.0,0.22103174603174605,0.0,1.0,1,3,2.0,2.0
218,0,0.0,0.47233337971218414,2.0,1.0,0.12301587301587302,0.0,1.0,1,2,1.0,2.0
219,1,0.0,0.3526881394267466,2.0,1.0,0.058333333333333334,0.0,1.0,0,4,2.0,1.0
220,1,0.0,0.2256404242649357,1.0,1.0,0.08253968253968255,0.0,1.0,2,3,1.0,1.0
221,1,0.0,0.46191258364476107,1.0,2.0,0.34484126984126984,1.0,1.0,3,3,3.0,1.0
222,0,0.0,0.3292413482750447,1.0,1.0,0.03333333333333333,0.0,1.0,2,2,1.0,4.0
223,1,0.0,0.551998510813382,1.0,1.0,0.3523809523809524,1.0,1.0,1,2,2.0,4.0
224,0,0.0,0.5815999792540959,1.0,2.0,0.43412698412698414,0.0,0.0,2,4,2.0,2.0
225,0,0.0,0.3483545721300998,2.0,1.0,0.05277777777777778,0.0,1.0,1,2,2.0,2.0
226,0,0.0,0.5754705951594223,1.0,2.0,0.39682539682539686,0.0,0.0,3,2,2.0,1.0
227,1,0.0,0.46592577047978806,1.0,1.0,0.14563492063492064,2.0,1.0,2,2,2.0,4.0
228,0,0.0,0.6262256051318227,1.0,1.0,0.27182539682539686,0.0,0.0,3,0,1.0,4.0
229,1,0.0,0.46191258364476107,1.0,2.0,0.34484126984126984,1.0,1.0,3,3,3.0,1.0
230,0,0.0,0.10433426421794284,1.0,1.0,0.04523809523809524,0.0,1.0,2,1,0.0,1.0
231,0,0.0,0.6406595880342728,1.0,2.0,0.32936507936507936,0.0,0.0,1,2,2.0,3.0
232,0,0.0,0.4765742052962568,1.0,1.0,0.16984126984126985,0.0,1.0,1,2,2.0,1.0
233,0,0.0,0.5515516643800702,2.0,1.0,0.11269841269841269,0.0,1.0,1,2,2.0,1.0
234,0,0.0,0.512515834451131,1.0,2.0,0.498015873015873,0.0,1.0,3,2,1.0,2.0
235,0,0.0,0.6674450808386442,1.0,2.0,0.48095238095238096,2.0,1.0,0,3,2.0,3.0
236,0,0.0,0.22030356025953213,1.0,1.0,0.022222222222222223,0.0,0.0,3,3,1.0,4.0
237,0,0.0,0.29402479069120474,1.0,1.0,0.061507936507936505,0.0,1.0,2,4,1.0,2.0
238,1,0.0,0.5083846127091914,1.0,2.0,0.346031746031746,1.0,1.0,1,4,1.0,1.0
239,1,0.0,0.6090936814999427,1.0,2.0,0.5777777777777778,2.0,0.0,4,3,2.0,1.0
240,0,0.0,0.23125551340806172,2.0,1.0,0.014285714285714287,0.0,0.0,1,4,2.0,1.0
241,0,0.0,0.40256631866208226,2.0,1.0,0.10476190476190475,0.0,1.0,0,4,3.0,2.0
242,0,0.0,0.5070609355388149,1.0,1.0,0.15873015873015875,0.0,0.0,1,2,2.0,3.0
243,0,0.0,0.40411763458150446,1.0,1.0,0.10357142857142856,0.0,0.0,1,2,1.0,3.0
244,0,0.0,0.4308778341915375,3.0,1.0,0.10238095238095238,0.0,1.0,2,4,2.0,1.0
245,0,0.0,0.42965532979851456,1.0,1.0,0.13412698412698412,0.0,0.0,0,2,2.0,3.0
246,1,0.0,0.39655496947432123,2.0,1.0,0.05357142857142857,0.0,1.0,2,2,1.0,2.0
247,0,0.0,0.27055270634516443,3.0,1.0,0.038492063492063494,0.0,1.0,0,2,2.0,2.0
248,0,0.0,0.44328836154691514,1.0,2.0,0.25793650793650796,0.0,0.0,1,2,2.0,2.0
249,0,0.0,0.2369380510694235,1.0,1.0,0.046031746031746035,0.0,1.0,1,2,1.0,4.0
250,0,0.0,0.568068120283049,1.0,2.0,0.38412698412698415,0.0,0.0,1,2,2.0,2.0
251,0,0.0,0.60231510541725,1.0,2.0,0.42063492063492064,0.0,1.0,2,2,2.0,1.0
252,0,0.0,0.5555142648264204,1.0,2.0,0.4531746031746032,0.0,1.0,1,2,1.0,1.0
253,0,0.0,0.6120192609784183,1.0,2.0,0.4011904761904762,1.0,0.0,1,2,2.0,2.0
254,0,0.0,0.33826258758907596,2.0,1.0,0.02261904761904762,0.0,0.0,0,2,2.0,4.0
255,0,0.0,0.6863475280742126,2.0,2.0,0.32341269841269843,0.0,0.0,3,2,1.0,3.0
256,1,0.0,0.20562507647847744,2.0,1.0,0.025396825396825397,1.0,1.0,1,2,2.0,4.0
257,0,0.0,0.20482412532442795,1.0,1.0,0.025793650793650792,0.0,1.0,1,2,1.0,1.0
258,0,0.0,0.43511865977561015,3.0,1.0,0.0865079365079365,1.0,1.0,2,4,2.0,3.0
